Build arguments
	model_type                               -                                   custom
	input_shape                              -                              (32, 32, 3)
	noof_classes                             -                                       10
	weights                                  -                                     None
	freeze                                   -                                        0
	layers                                   -           ['conv2d', 'flatten', 'dense']
Compile arguments
	optimizer                                -                                     adam
	loss                                     -                 categorical_crossentropy
	run_eagerly                              -                                    False
	metrics_000                              -                     categorical_accuracy
	metrics_001                              -                                    top-5
	metrics_002                              -                                     mAUC
	metrics_003                              -                                     uAUC
Train arguments
	epochs                                   -                                      100
	batch                                    -                                        8
	call_time                                -                                     True
	call_stop                                -                                     True
	call_stop_kwargs-baseline                -                                      0.3
	call_stop_kwargs-monitor                 -                 val_categorical_accuracy
	call_stop_kwargs-patience                -                                        2
	call_stop_kwargs-min_delta               -                                    0.001
	call_stop_kwargs-restore_best            -                                     True
	call_checkpoint                          -                                    False
	call_checkpoint_kwargs-monitor           -                 val_categorical_accuracy
	call_checkpoint_kwargs-mode              -                                     auto
	call_checkpoint_kwargs-save_freq         -                                    epoch
	call_checkpoint_kwargs-save_weights_only -                                     True
	call_checkpoint_kwargs-save_best_only    -                                     True
	save_memory                              -                                     True
	save_final                               -                                     True
	validation_split                         -                                      0.2
	verbose                                  -                                        1
	dataset_size                             -                                    50000
CPU - local PC (IP: 180)
Evaluation: 
     epochs     --      loss     || cat_acc  ||   top5   ||    mAU    ||    uAU    || 
    Epoch 0     --      3.350320 ||   0.1757 ||   0.6525 ||  0.609620 ||  0.641225 || 
Training history: 
     epochs     --      loss     || cat_acc  ||   top5   ||    mAU    ||    uAU    ||    val_loss   || val_cat_acc || val_top5 ||  val_mAU  ||  val_uAU  ||     time     || 
   Epoch 000    --      2.300418 ||   0.1916 ||   0.5978 ||  0.618074 ||  0.621447 ||      2.302365 ||      0.0981 ||   0.4953 ||  0.503676 ||  0.498230 ||    17.186531 || 
   Epoch 001    --      2.302968 ||   0.1018 ||   0.5008 ||  0.498898 ||  0.501507 ||      2.301587 ||      0.1014 ||   0.5076 ||  0.501553 ||  0.502314 ||    15.473086 || 
   Epoch 002    --      2.302636 ||   0.1029 ||   0.5059 ||  0.501752 ||  0.505038 ||      2.300843 ||      0.1017 ||   0.4920 ||  0.503370 ||  0.499829 ||    15.271553 || 
   Epoch 003    --      2.301576 ||   0.1011 ||   0.4994 ||  0.498490 ||  0.500557 ||      2.302313 ||      0.1011 ||   0.4939 ||  0.500967 ||  0.496640 ||    15.710438 || 
   Epoch 004    --      2.301474 ||   0.0982 ||   0.4981 ||  0.496734 ||  0.498785 ||      2.300999 ||      0.1005 ||   0.4927 ||  0.502430 ||  0.498225 ||    15.764542 || 
   Epoch 005    --      2.301270 ||   0.1015 ||   0.4970 ||  0.499022 ||  0.500716 ||      2.301974 ||      0.1019 ||   0.4981 ||  0.504126 ||  0.501037 ||    15.257656 || 
   Epoch 006    --      2.301182 ||   0.1005 ||   0.5001 ||  0.498621 ||  0.501150 ||      2.299894 ||      0.1052 ||   0.5031 ||  0.503178 ||  0.502962 ||    15.538514 || 
   Epoch 007    --      2.298814 ||   0.1029 ||   0.5005 ||  0.499306 ||  0.501975 ||      2.300599 ||      0.1017 ||   0.4952 ||  0.504582 ||  0.500950 ||    15.461115 || 
   Epoch 008    --      2.298285 ||   0.1033 ||   0.5019 ||  0.500636 ||  0.503929 ||      2.298142 ||      0.1031 ||   0.5059 ||  0.506501 ||  0.505063 ||    16.074962 || 
   Epoch 009    --      2.296003 ||   0.1071 ||   0.5106 ||  0.507520 ||  0.509643 ||      2.300805 ||      0.1083 ||   0.5156 ||  0.507966 ||  0.511861 ||    15.627285 || 
   Epoch 010    --      2.293856 ||   0.1040 ||   0.5062 ||  0.505221 ||  0.507911 ||      2.292051 ||      0.1080 ||   0.5103 ||  0.509172 ||  0.509974 ||    15.776682 || 
   Epoch 011    --      2.292196 ||   0.1062 ||   0.5045 ||  0.504043 ||  0.509746 ||      2.392435 ||      0.1129 ||   0.5226 ||  0.523371 ||  0.527476 ||    15.779059 || 
   Epoch 012    --      2.291162 ||   0.1084 ||   0.5098 ||  0.509872 ||  0.513894 ||      2.289511 ||      0.1125 ||   0.5152 ||  0.514380 ||  0.517390 ||    15.440301 || 
   Epoch 013    --      2.287956 ||   0.1108 ||   0.5142 ||  0.512242 ||  0.517268 ||      2.283735 ||      0.1082 ||   0.5161 ||  0.515480 ||  0.519595 ||    15.285915 || 
   Epoch 014    --      2.282237 ||   0.1116 ||   0.5191 ||  0.514387 ||  0.521323 ||      2.278549 ||      0.1195 ||   0.5269 ||  0.525168 ||  0.530690 ||    15.713012 || 
   Epoch 015    --      2.279944 ||   0.1173 ||   0.5184 ||  0.519654 ||  0.524248 ||      2.286544 ||      0.1233 ||   0.5224 ||  0.525950 ||  0.528232 ||    15.849237 || 
   Epoch 016    --      2.276443 ||   0.1163 ||   0.5230 ||  0.520975 ||  0.527115 ||      2.272496 ||      0.1158 ||   0.5241 ||  0.522071 ||  0.526401 ||    15.320424 || 
   Epoch 017    --      2.272918 ||   0.1247 ||   0.5371 ||  0.529989 ||  0.540845 ||      2.258017 ||      0.1348 ||   0.5410 ||  0.543050 ||  0.552581 ||    15.182614 || 
   Epoch 018    --      2.263133 ||   0.1318 ||   0.5491 ||  0.538252 ||  0.552550 ||      2.256432 ||      0.1345 ||   0.5457 ||  0.541997 ||  0.552736 ||    15.176890 || 
   Epoch 019    --      2.254351 ||   0.1327 ||   0.5560 ||  0.541857 ||  0.559372 ||      2.239524 ||      0.1442 ||   0.5764 ||  0.560017 ||  0.580683 ||    15.805058 || 
   Epoch 020    --      2.240455 ||   0.1425 ||   0.5767 ||  0.559668 ||  0.580162 ||      2.272285 ||      0.1172 ||   0.5247 ||  0.524707 ||  0.529722 ||    14.938700 || 
   Epoch 021    --      2.233747 ||   0.1463 ||   0.5785 ||  0.564849 ||  0.584966 ||      2.240321 ||      0.1327 ||   0.5675 ||  0.552517 ||  0.567604 ||    15.500229 || 
   Epoch 022    --      2.229973 ||   0.1474 ||   0.5852 ||  0.567070 ||  0.590117 ||      2.244038 ||      0.1707 ||   0.6315 ||  0.607438 ||  0.631969 ||    15.421680 || 
   Epoch 023    --      2.214308 ||   0.1543 ||   0.5963 ||  0.576703 ||  0.601488 ||      2.206687 ||      0.1503 ||   0.5859 ||  0.574629 ||  0.594201 ||    15.864635 || 
   Epoch 024    --      2.212431 ||   0.1589 ||   0.5980 ||  0.579274 ||  0.604969 ||      2.185024 ||      0.1531 ||   0.5963 ||  0.587175 ||  0.604934 ||    15.522076 || 
   Epoch 025    --      2.195026 ||   0.1613 ||   0.6116 ||  0.590668 ||  0.616867 ||      2.202831 ||      0.1536 ||   0.5869 ||  0.575379 ||  0.594542 ||    15.320285 || 
   Epoch 026    --      2.206539 ||   0.1561 ||   0.6000 ||  0.583781 ||  0.607083 ||      2.233710 ||      0.1347 ||   0.5540 ||  0.554457 ||  0.562980 ||    15.654973 || 
   Epoch 027    --      2.193897 ||   0.1622 ||   0.6052 ||  0.589965 ||  0.614395 ||      2.170202 ||      0.1673 ||   0.6068 ||  0.594403 ||  0.618122 ||    15.559516 || 
