Build arguments
	model_type                               -                                   custom
	input_shape                              -                              (32, 32, 3)
	noof_classes                             -                                       10
	weights                                  -                                     None
	freeze                                   -                                        0
	layers                                   -           ['conv2d', 'flatten', 'dense']
Compile arguments
	optimizer                                -                                     adam
	loss                                     -                 categorical_crossentropy
	run_eagerly                              -                                    False
	metrics_000                              -                     categorical_accuracy
	metrics_001                              -                                    top-5
	metrics_002                              -                                     mAUC
	metrics_003                              -                                     uAUC
Train arguments
	epochs                                   -                                      100
	batch                                    -                                        8
	call_time                                -                                     True
	call_stop                                -                                     True
	call_stop_kwargs-baseline                -                                      0.3
	call_stop_kwargs-monitor                 -                 val_categorical_accuracy
	call_stop_kwargs-patience                -                                        2
	call_stop_kwargs-min_delta               -                                    0.001
	call_stop_kwargs-restore_best            -                                     True
	call_checkpoint                          -                                    False
	call_checkpoint_kwargs-monitor           -                 val_categorical_accuracy
	call_checkpoint_kwargs-mode              -                                     auto
	call_checkpoint_kwargs-save_freq         -                                    epoch
	call_checkpoint_kwargs-save_weights_only -                                     True
	call_checkpoint_kwargs-save_best_only    -                                     True
	save_memory                              -                                     True
	save_final                               -                                     True
	validation_split                         -                                      0.2
	verbose                                  -                                        1
	dataset_size                             -                                    50000
CPU - local PC (IP: 180)
Evaluation: 
     epochs     --      loss     || cat_acc  ||   top5   ||    mAU    ||    uAU    || 
    Epoch 0     --      2.604084 ||   0.1079 ||   0.5183 ||  0.511411 ||  0.515912 || 
Training history: 
     epochs     --      loss     || cat_acc  ||   top5   ||    mAU    ||    uAU    ||    val_loss   || val_cat_acc || val_top5 ||  val_mAU  ||  val_uAU  ||     time     || 
   Epoch 000    --      2.302748 ||   0.1867 ||   0.5882 ||  0.608922 ||  0.610474 ||      2.302924 ||      0.0991 ||   0.4947 ||  0.500199 ||  0.496108 ||    16.444375 || 
   Epoch 001    --      2.303261 ||   0.1015 ||   0.5009 ||  0.498506 ||  0.500887 ||      2.302634 ||      0.1031 ||   0.5055 ||  0.500273 ||  0.500874 ||    15.397593 || 
   Epoch 002    --      2.302753 ||   0.1017 ||   0.5012 ||  0.498529 ||  0.501283 ||      2.301830 ||      0.1007 ||   0.4896 ||  0.500965 ||  0.497467 ||    15.845219 || 
   Epoch 003    --      2.302901 ||   0.0985 ||   0.4954 ||  0.495571 ||  0.497132 ||      2.303020 ||      0.1004 ||   0.4927 ||  0.500244 ||  0.495317 ||    15.817771 || 
   Epoch 004    --      2.302499 ||   0.0962 ||   0.4978 ||  0.495452 ||  0.497659 ||      2.302949 ||      0.0994 ||   0.4914 ||  0.500231 ||  0.495382 ||    15.600630 || 
   Epoch 005    --      2.302549 ||   0.0995 ||   0.4952 ||  0.496060 ||  0.497568 ||      2.302567 ||      0.0985 ||   0.4915 ||  0.500550 ||  0.497234 ||    15.580229 || 
   Epoch 006    --      2.302670 ||   0.0994 ||   0.5001 ||  0.496893 ||  0.499014 ||      2.301360 ||      0.1039 ||   0.5016 ||  0.501492 ||  0.501895 ||    15.962673 || 
   Epoch 007    --      2.301457 ||   0.1007 ||   0.4978 ||  0.495946 ||  0.498545 ||      2.300802 ||      0.1009 ||   0.4940 ||  0.501422 ||  0.498517 ||    15.521087 || 
   Epoch 008    --      2.300945 ||   0.1011 ||   0.4983 ||  0.497847 ||  0.500219 ||      2.301146 ||      0.1004 ||   0.5019 ||  0.502205 ||  0.500983 ||    15.432779 || 
   Epoch 009    --      2.299982 ||   0.1016 ||   0.5081 ||  0.502567 ||  0.503968 ||      2.300328 ||      0.1041 ||   0.5056 ||  0.502687 ||  0.503735 ||    15.942973 || 
   Epoch 010    --      2.300111 ||   0.1006 ||   0.4989 ||  0.498862 ||  0.500860 ||      2.300165 ||      0.1027 ||   0.4988 ||  0.502185 ||  0.500200 ||    15.856816 || 
   Epoch 011    --      2.299877 ||   0.1005 ||   0.5004 ||  0.497984 ||  0.501598 ||      2.297373 ||      0.1026 ||   0.5030 ||  0.504641 ||  0.506210 ||    15.997410 || 
   Epoch 012    --      2.298833 ||   0.1025 ||   0.5024 ||  0.502085 ||  0.504212 ||      2.296657 ||      0.1033 ||   0.5018 ||  0.504515 ||  0.503518 ||    16.105650 || 
   Epoch 013    --      2.298393 ||   0.1029 ||   0.5016 ||  0.501054 ||  0.502553 ||      2.296752 ||      0.1000 ||   0.5058 ||  0.505140 ||  0.506183 ||    15.963583 || 
   Epoch 014    --      2.298265 ||   0.1022 ||   0.5010 ||  0.501360 ||  0.503355 ||      2.295620 ||      0.1100 ||   0.5022 ||  0.506251 ||  0.505509 ||    15.371393 || 
   Epoch 015    --      2.297891 ||   0.1044 ||   0.5024 ||  0.503421 ||  0.504905 ||      2.296327 ||      0.1034 ||   0.4943 ||  0.505364 ||  0.499461 ||    15.693951 || 
   Epoch 016    --      2.296092 ||   0.1038 ||   0.5032 ||  0.503431 ||  0.505315 ||      2.298110 ||      0.1025 ||   0.4974 ||  0.504748 ||  0.502732 ||    15.476345 || 
   Epoch 017    --      2.295627 ||   0.1033 ||   0.5040 ||  0.502568 ||  0.504782 ||      2.295181 ||      0.1001 ||   0.5002 ||  0.505180 ||  0.503319 ||    16.154369 || 
   Epoch 018    --      2.295410 ||   0.1059 ||   0.5016 ||  0.502079 ||  0.505276 ||      2.290915 ||      0.1076 ||   0.5020 ||  0.508619 ||  0.506316 ||    15.816027 || 
   Epoch 019    --      2.295206 ||   0.1034 ||   0.4997 ||  0.499730 ||  0.502214 ||      2.295208 ||      0.1015 ||   0.5032 ||  0.505610 ||  0.503098 ||    15.963416 || 
   Epoch 020    --      2.293013 ||   0.1007 ||   0.5046 ||  0.503102 ||  0.505486 ||      2.294378 ||      0.1022 ||   0.5064 ||  0.506156 ||  0.505664 ||    16.086265 || 
   Epoch 021    --      2.292556 ||   0.1048 ||   0.5029 ||  0.502867 ||  0.505533 ||      2.294197 ||      0.0995 ||   0.5029 ||  0.506245 ||  0.503286 ||    16.075626 || 
