Build arguments
	model_type                               -                                   custom
	input_shape                              -                              (32, 32, 3)
	noof_classes                             -                                       10
	weights                                  -                                     None
	freeze                                   -                                        0
	layers                                   -           ['conv2d', 'flatten', 'dense']
Compile arguments
	optimizer                                -                                     adam
	loss                                     -                 categorical_crossentropy
	run_eagerly                              -                                    False
	metrics_000                              -                     categorical_accuracy
	metrics_001                              -                                    top-5
	metrics_002                              -                                     mAUC
	metrics_003                              -                                     uAUC
Train arguments
	epochs                                   -                                      100
	batch                                    -                                        8
	call_time                                -                                     True
	call_stop                                -                                     True
	call_stop_kwargs-baseline                -                                      0.3
	call_stop_kwargs-monitor                 -                 val_categorical_accuracy
	call_stop_kwargs-patience                -                                        2
	call_stop_kwargs-min_delta               -                                    0.001
	call_stop_kwargs-restore_best            -                                     True
	call_checkpoint                          -                                    False
	call_checkpoint_kwargs-monitor           -                 val_categorical_accuracy
	call_checkpoint_kwargs-mode              -                                     auto
	call_checkpoint_kwargs-save_freq         -                                    epoch
	call_checkpoint_kwargs-save_weights_only -                                     True
	call_checkpoint_kwargs-save_best_only    -                                     True
	save_memory                              -                                     True
	save_final                               -                                     True
	validation_split                         -                                      0.2
	verbose                                  -                                        1
	dataset_size                             -                                    50000
CPU - local PC (IP: 180)
Evaluation: 
     epochs     --      loss     || cat_acc  ||   top5   ||    mAU    ||    uAU    || 
    Epoch 0     --      2.567777 ||   0.1116 ||   0.5192 ||  0.512273 ||  0.519000 || 
Training history: 
     epochs     --      loss     || cat_acc  ||   top5   ||    mAU    ||    uAU    ||    val_loss   || val_cat_acc || val_top5 ||  val_mAU  ||  val_uAU  ||     time     || 
   Epoch 000    --      2.154736 ||   0.2670 ||   0.7548 ||  0.709184 ||  0.716794 ||      2.102784 ||      0.2103 ||   0.7482 ||  0.705066 ||  0.699432 ||    17.291039 || 
   Epoch 001    --      2.239715 ||   0.1462 ||   0.5890 ||  0.586827 ||  0.589191 ||      2.302204 ||      0.1011 ||   0.4996 ||  0.501114 ||  0.503730 ||    15.707340 || 
   Epoch 002    --      2.302016 ||   0.1028 ||   0.5039 ||  0.500101 ||  0.502630 ||      2.301260 ||      0.1014 ||   0.4909 ||  0.502101 ||  0.498799 ||    16.800313 || 
   Epoch 003    --      2.301987 ||   0.0985 ||   0.4954 ||  0.496500 ||  0.498145 ||      2.301980 ||      0.1018 ||   0.4994 ||  0.501413 ||  0.496193 ||    15.381563 || 
   Epoch 004    --      2.301875 ||   0.0975 ||   0.4982 ||  0.496233 ||  0.498447 ||      2.300612 ||      0.1008 ||   0.4920 ||  0.502168 ||  0.497926 ||    15.397388 || 
   Epoch 005    --      2.301245 ||   0.1010 ||   0.4960 ||  0.497955 ||  0.499711 ||      2.300938 ||      0.0991 ||   0.4965 ||  0.501797 ||  0.499875 ||    15.463058 || 
   Epoch 006    --      2.300555 ||   0.1005 ||   0.5004 ||  0.497980 ||  0.500408 ||      2.299647 ||      0.1042 ||   0.5024 ||  0.502384 ||  0.502716 ||    15.948909 || 
   Epoch 007    --      2.300562 ||   0.1012 ||   0.4981 ||  0.497512 ||  0.500113 ||      2.298518 ||      0.1016 ||   0.4953 ||  0.503057 ||  0.500463 ||    15.395796 || 
   Epoch 008    --      2.299738 ||   0.1020 ||   0.5002 ||  0.499095 ||  0.501837 ||      2.299908 ||      0.1015 ||   0.5030 ||  0.502851 ||  0.501244 ||    15.455841 || 
   Epoch 009    --      2.298561 ||   0.1021 ||   0.5085 ||  0.504199 ||  0.505727 ||      2.297712 ||      0.1046 ||   0.5055 ||  0.503932 ||  0.506036 ||    15.342435 || 
   Epoch 010    --      2.297988 ||   0.1005 ||   0.5001 ||  0.500235 ||  0.502035 ||      2.303781 ||      0.1056 ||   0.5046 ||  0.507138 ||  0.506730 ||    15.450940 || 
   Epoch 011    --      2.297588 ||   0.1015 ||   0.5015 ||  0.499452 ||  0.503150 ||      2.295800 ||      0.1039 ||   0.5036 ||  0.505441 ||  0.506607 ||    15.489724 || 
   Epoch 012    --      2.297694 ||   0.1028 ||   0.5035 ||  0.502708 ||  0.505019 ||      2.295283 ||      0.1046 ||   0.5026 ||  0.504870 ||  0.504134 ||    15.375790 || 
   Epoch 013    --      2.295012 ||   0.1039 ||   0.5034 ||  0.502899 ||  0.505198 ||      2.296744 ||      0.1012 ||   0.5068 ||  0.505484 ||  0.506516 ||    15.060879 || 
   Epoch 014    --      2.295636 ||   0.1024 ||   0.5023 ||  0.502038 ||  0.504297 ||      2.293766 ||      0.1098 ||   0.5012 ||  0.506413 ||  0.506878 ||    15.643243 || 
   Epoch 015    --      2.294844 ||   0.1058 ||   0.5052 ||  0.505233 ||  0.506509 ||      2.295026 ||      0.1059 ||   0.4959 ||  0.507032 ||  0.502623 ||    15.407536 || 
   Epoch 016    --      2.294258 ||   0.1037 ||   0.5038 ||  0.504248 ||  0.506226 ||      2.293942 ||      0.1036 ||   0.4982 ||  0.506292 ||  0.504629 ||    15.338334 || 
   Epoch 017    --      2.293331 ||   0.1051 ||   0.5072 ||  0.504506 ||  0.507189 ||      2.291649 ||      0.1015 ||   0.5011 ||  0.506846 ||  0.504357 ||    14.983348 || 
   Epoch 018    --      2.293303 ||   0.1086 ||   0.5053 ||  0.504289 ||  0.507874 ||      2.289846 ||      0.1083 ||   0.5017 ||  0.508164 ||  0.506171 ||    15.379165 || 
   Epoch 019    --      2.290993 ||   0.1050 ||   0.5007 ||  0.501360 ||  0.504513 ||      2.293614 ||      0.1029 ||   0.5054 ||  0.507352 ||  0.506048 ||    15.649837 || 
   Epoch 020    --      2.290988 ||   0.1002 ||   0.5050 ||  0.503518 ||  0.505987 ||      2.292939 ||      0.1039 ||   0.5061 ||  0.506503 ||  0.505407 ||    15.309623 || 
   Epoch 021    --      2.290824 ||   0.1055 ||   0.5050 ||  0.504187 ||  0.506971 ||      2.291188 ||      0.1017 ||   0.5007 ||  0.507564 ||  0.504862 ||    15.618990 || 
   Epoch 022    --      2.291462 ||   0.1041 ||   0.5055 ||  0.504999 ||  0.508584 ||      2.289868 ||      0.1017 ||   0.4998 ||  0.509270 ||  0.503963 ||    15.511296 || 
   Epoch 023    --      2.290035 ||   0.1067 ||   0.5016 ||  0.504691 ||  0.507016 ||      2.288978 ||      0.1053 ||   0.5043 ||  0.508901 ||  0.508239 ||    15.428812 || 
   Epoch 024    --      2.287549 ||   0.1084 ||   0.5048 ||  0.504008 ||  0.508508 ||      2.289399 ||      0.1009 ||   0.5060 ||  0.510591 ||  0.507280 ||    15.300226 || 
   Epoch 025    --      2.287677 ||   0.1056 ||   0.5031 ||  0.506737 ||  0.509139 ||      2.287423 ||      0.1082 ||   0.5128 ||  0.512620 ||  0.515673 ||    15.267241 || 
