Build arguments
	model_type                               -                                   custom
	input_shape                              -                              (32, 32, 3)
	noof_classes                             -                                       10
	weights                                  -                                     None
	freeze                                   -                                        0
	layers                                   -           ['conv2d', 'flatten', 'dense']
Compile arguments
	optimizer                                -                                     adam
	loss                                     -                 categorical_crossentropy
	run_eagerly                              -                                    False
	metrics_000                              -                     categorical_accuracy
	metrics_001                              -                                    top-5
	metrics_002                              -                                     mAUC
	metrics_003                              -                                     uAUC
Train arguments
	epochs                                   -                                      100
	batch                                    -                                        8
	call_time                                -                                     True
	call_stop                                -                                     True
	call_stop_kwargs-baseline                -                                      0.3
	call_stop_kwargs-monitor                 -                 val_categorical_accuracy
	call_stop_kwargs-patience                -                                        2
	call_stop_kwargs-min_delta               -                                    0.001
	call_stop_kwargs-restore_best            -                                     True
	call_checkpoint                          -                                    False
	call_checkpoint_kwargs-monitor           -                 val_categorical_accuracy
	call_checkpoint_kwargs-mode              -                                     auto
	call_checkpoint_kwargs-save_freq         -                                    epoch
	call_checkpoint_kwargs-save_weights_only -                                     True
	call_checkpoint_kwargs-save_best_only    -                                     True
	save_memory                              -                                     True
	save_final                               -                                     True
	validation_split                         -                                      0.2
	verbose                                  -                                        1
	dataset_size                             -                                    50000
CPU - local PC (IP: 180)
Evaluation: 
     epochs     --      loss     || cat_acc  ||   top5   ||    mAU    ||    uAU    || 
    Epoch 0     --      3.068926 ||   0.1340 ||   0.5594 ||  0.541628 ||  0.557692 || 
Training history: 
     epochs     --      loss     || cat_acc  ||   top5   ||    mAU    ||    uAU    ||    val_loss   || val_cat_acc || val_top5 ||  val_mAU  ||  val_uAU  ||     time     || 
   Epoch 000    --      2.287835 ||   0.2087 ||   0.6230 ||  0.639051 ||  0.643858 ||      2.301418 ||      0.1000 ||   0.4953 ||  0.502084 ||  0.500879 ||    16.494489 || 
   Epoch 001    --      2.302673 ||   0.1038 ||   0.5042 ||  0.501600 ||  0.504520 ||      2.299997 ||      0.0986 ||   0.5044 ||  0.502645 ||  0.501450 ||    15.105288 || 
   Epoch 002    --      2.301653 ||   0.1036 ||   0.5041 ||  0.501180 ||  0.504268 ||      2.306410 ||      0.1041 ||   0.4968 ||  0.505950 ||  0.503550 ||    15.771755 || 
   Epoch 003    --      2.302509 ||   0.1016 ||   0.4988 ||  0.498217 ||  0.499907 ||      2.299949 ||      0.1031 ||   0.4962 ||  0.503431 ||  0.499144 ||    15.581872 || 
   Epoch 004    --      2.300757 ||   0.0990 ||   0.4985 ||  0.497330 ||  0.499305 ||      2.300529 ||      0.1016 ||   0.4931 ||  0.502999 ||  0.499034 ||    15.527209 || 
   Epoch 005    --      2.299908 ||   0.1020 ||   0.4972 ||  0.498918 ||  0.500881 ||      2.299860 ||      0.1003 ||   0.4978 ||  0.503505 ||  0.500856 ||    15.305042 || 
   Epoch 006    --      2.299549 ||   0.1019 ||   0.5017 ||  0.499661 ||  0.502131 ||      2.304097 ||      0.1070 ||   0.5074 ||  0.506574 ||  0.506465 ||    15.248060 || 
   Epoch 007    --      2.299926 ||   0.1015 ||   0.4992 ||  0.498542 ||  0.501067 ||      2.296292 ||      0.1027 ||   0.4983 ||  0.506349 ||  0.503262 ||    15.286359 || 
   Epoch 008    --      2.298764 ||   0.1016 ||   0.4990 ||  0.499431 ||  0.501826 ||      2.300247 ||      0.1018 ||   0.5039 ||  0.503899 ||  0.502457 ||    15.551537 || 
   Epoch 009    --      2.298183 ||   0.1034 ||   0.5097 ||  0.505344 ||  0.506980 ||      2.305549 ||      0.1054 ||   0.5064 ||  0.504250 ||  0.505791 ||    15.257662 || 
   Epoch 010    --      2.297245 ||   0.1025 ||   0.5020 ||  0.502375 ||  0.504316 ||      2.297313 ||      0.1050 ||   0.5013 ||  0.505609 ||  0.502854 ||    15.718128 || 
   Epoch 011    --      2.298073 ||   0.1034 ||   0.5014 ||  0.500999 ||  0.504151 ||      2.294040 ||      0.1055 ||   0.5061 ||  0.508238 ||  0.508146 ||    15.450620 || 
   Epoch 012    --      2.296271 ||   0.1036 ||   0.5059 ||  0.504552 ||  0.506865 ||      2.293512 ||      0.1056 ||   0.5029 ||  0.506196 ||  0.504351 ||    15.339371 || 
   Epoch 013    --      2.297223 ||   0.1036 ||   0.5027 ||  0.502962 ||  0.504783 ||      2.295171 ||      0.1018 ||   0.5067 ||  0.505922 ||  0.506814 ||    15.741996 || 
   Epoch 014    --      2.293864 ||   0.1044 ||   0.5034 ||  0.504360 ||  0.506227 ||      2.296010 ||      0.1114 ||   0.5059 ||  0.507438 ||  0.507181 ||    15.371785 || 
   Epoch 015    --      2.297248 ||   0.1066 ||   0.5058 ||  0.507215 ||  0.508467 ||      2.290764 ||      0.1069 ||   0.4959 ||  0.508189 ||  0.503484 ||    15.541858 || 
   Epoch 016    --      2.290498 ||   0.1071 ||   0.5052 ||  0.507551 ||  0.509861 ||      2.294138 ||      0.1091 ||   0.5046 ||  0.512718 ||  0.512852 ||    15.360316 || 
   Epoch 017    --      2.290170 ||   0.1068 ||   0.5084 ||  0.508804 ||  0.511758 ||      2.288759 ||      0.1042 ||   0.5064 ||  0.512895 ||  0.510921 ||    15.645747 || 
   Epoch 018    --      2.288950 ||   0.1115 ||   0.5067 ||  0.509111 ||  0.512450 ||      2.295898 ||      0.1140 ||   0.5149 ||  0.515885 ||  0.518140 ||    15.731580 || 
   Epoch 019    --      2.286828 ||   0.1097 ||   0.5082 ||  0.508428 ||  0.512573 ||      2.286360 ||      0.1075 ||   0.5110 ||  0.512471 ||  0.511447 ||    14.186522 || 
   Epoch 020    --      2.282722 ||   0.1092 ||   0.5111 ||  0.512203 ||  0.516455 ||      2.282760 ||      0.1095 ||   0.5189 ||  0.517985 ||  0.520959 ||    14.046476 || 
   Epoch 021    --      2.283142 ||   0.1135 ||   0.5153 ||  0.514408 ||  0.518455 ||      2.281527 ||      0.1065 ||   0.5125 ||  0.515054 ||  0.515457 ||    14.126208 || 
   Epoch 022    --      2.278388 ||   0.1144 ||   0.5209 ||  0.516839 ||  0.523427 ||      2.286425 ||      0.1102 ||   0.5215 ||  0.520674 ||  0.520782 ||    15.167125 || 
   Epoch 023    --      2.276926 ||   0.1164 ||   0.5180 ||  0.516125 ||  0.523216 ||      2.265118 ||      0.1216 ||   0.5290 ||  0.530351 ||  0.534577 ||    14.790579 || 
   Epoch 024    --      2.272235 ||   0.1212 ||   0.5227 ||  0.519117 ||  0.529290 ||      2.273105 ||      0.1093 ||   0.5118 ||  0.520247 ||  0.521597 ||    16.738945 || 
   Epoch 025    --      2.265189 ||   0.1209 ||   0.5301 ||  0.526090 ||  0.535395 ||      2.276450 ||      0.1193 ||   0.5288 ||  0.524644 ||  0.532401 ||    16.783417 || 
