Build arguments
	model_type                               -                                   custom
	input_shape                              -                              (32, 32, 3)
	noof_classes                             -                                       10
	weights                                  -                                     None
	freeze                                   -                                        0
	layers                                   -           ['conv2d', 'flatten', 'dense']
Compile arguments
	optimizer                                -                                     adam
	loss                                     -                 categorical_crossentropy
	run_eagerly                              -                                    False
	metrics_000                              -                     categorical_accuracy
	metrics_001                              -                                    top-5
	metrics_002                              -                                     mAUC
	metrics_003                              -                                     uAUC
Train arguments
	epochs                                   -                                      100
	batch                                    -                                        8
	call_time                                -                                     True
	call_stop                                -                                     True
	call_stop_kwargs-baseline                -                                      0.3
	call_stop_kwargs-monitor                 -                 val_categorical_accuracy
	call_stop_kwargs-patience                -                                        2
	call_stop_kwargs-min_delta               -                                    0.001
	call_stop_kwargs-restore_best            -                                     True
	call_checkpoint                          -                                    False
	call_checkpoint_kwargs-monitor           -                 val_categorical_accuracy
	call_checkpoint_kwargs-mode              -                                     auto
	call_checkpoint_kwargs-save_freq         -                                    epoch
	call_checkpoint_kwargs-save_weights_only -                                     True
	call_checkpoint_kwargs-save_best_only    -                                     True
	save_memory                              -                                     True
	save_final                               -                                     True
	validation_split                         -                                      0.2
	verbose                                  -                                        1
	dataset_size                             -                                    50000
CPU - local PC (IP: 180)
Evaluation: 
     epochs     --      loss     || cat_acc  ||   top5   ||    mAU    ||    uAU    || 
    Epoch 0     --      2.950263 ||   0.1335 ||   0.5578 ||  0.538483 ||  0.554603 || 
Training history: 
     epochs     --      loss     || cat_acc  ||   top5   ||    mAU    ||    uAU    ||    val_loss   || val_cat_acc || val_top5 ||  val_mAU  ||  val_uAU  ||     time     || 
   Epoch 000    --      2.303231 ||   0.1833 ||   0.5857 ||  0.602293 ||  0.603607 ||      2.302787 ||      0.0993 ||   0.4948 ||  0.500125 ||  0.496013 ||    17.193122 || 
   Epoch 001    --      2.302886 ||   0.1011 ||   0.5001 ||  0.497764 ||  0.500368 ||      2.302623 ||      0.1029 ||   0.5017 ||  0.500545 ||  0.500956 ||    15.047459 || 
   Epoch 002    --      2.302300 ||   0.1017 ||   0.5010 ||  0.498610 ||  0.501291 ||      2.302682 ||      0.1004 ||   0.4893 ||  0.500598 ||  0.497241 ||    14.728291 || 
   Epoch 003    --      2.302697 ||   0.0990 ||   0.4957 ||  0.496390 ||  0.498042 ||      2.301635 ||      0.1018 ||   0.4995 ||  0.501679 ||  0.496383 ||    15.486188 || 
   Epoch 004    --      2.302048 ||   0.0977 ||   0.4991 ||  0.495831 ||  0.497897 ||      2.301239 ||      0.1004 ||   0.4921 ||  0.501773 ||  0.497055 ||    15.113931 || 
   Epoch 005    --      2.301217 ||   0.1007 ||   0.4974 ||  0.499283 ||  0.500976 ||      2.300152 ||      0.0996 ||   0.4964 ||  0.502185 ||  0.498860 ||    15.088858 || 
   Epoch 006    --      2.300827 ||   0.1007 ||   0.5001 ||  0.497713 ||  0.499908 ||      2.300802 ||      0.1050 ||   0.5030 ||  0.502616 ||  0.503019 ||    15.094577 || 
   Epoch 007    --      2.301387 ||   0.1010 ||   0.4976 ||  0.498140 ||  0.500664 ||      2.299057 ||      0.1014 ||   0.4958 ||  0.503201 ||  0.500600 ||    15.260766 || 
   Epoch 008    --      2.299079 ||   0.1008 ||   0.5005 ||  0.499951 ||  0.502699 ||      2.303571 ||      0.1020 ||   0.5051 ||  0.505378 ||  0.503453 ||    14.830985 || 
   Epoch 009    --      2.299520 ||   0.1028 ||   0.5098 ||  0.504042 ||  0.505843 ||      2.298099 ||      0.1042 ||   0.5058 ||  0.503591 ||  0.505271 ||    15.174608 || 
   Epoch 010    --      2.298027 ||   0.1002 ||   0.4984 ||  0.499711 ||  0.501620 ||      2.299293 ||      0.1045 ||   0.5013 ||  0.505402 ||  0.502924 ||    15.222791 || 
   Epoch 011    --      2.297673 ||   0.1016 ||   0.5011 ||  0.499334 ||  0.503498 ||      2.299370 ||      0.1045 ||   0.5041 ||  0.506747 ||  0.506595 ||    15.355187 || 
   Epoch 012    --      2.296586 ||   0.1038 ||   0.5041 ||  0.503752 ||  0.506006 ||      2.292617 ||      0.1061 ||   0.5054 ||  0.508561 ||  0.507614 ||    15.007532 || 
   Epoch 013    --      2.296208 ||   0.1044 ||   0.5029 ||  0.503742 ||  0.505904 ||      2.295008 ||      0.1013 ||   0.5054 ||  0.504761 ||  0.505309 ||    15.206838 || 
   Epoch 014    --      2.294778 ||   0.1042 ||   0.5039 ||  0.503860 ||  0.505866 ||      2.292584 ||      0.1129 ||   0.5047 ||  0.509997 ||  0.511505 ||    15.205813 || 
   Epoch 015    --      2.294427 ||   0.1065 ||   0.5073 ||  0.508034 ||  0.509540 ||      2.295321 ||      0.1043 ||   0.4957 ||  0.506189 ||  0.502500 ||    15.361776 || 
   Epoch 016    --      2.292159 ||   0.1057 ||   0.5056 ||  0.506489 ||  0.508630 ||      2.292591 ||      0.1034 ||   0.5097 ||  0.508857 ||  0.507519 ||    14.579944 || 
   Epoch 017    --      2.291096 ||   0.1054 ||   0.5077 ||  0.507123 ||  0.509969 ||      2.289281 ||      0.1036 ||   0.5042 ||  0.510233 ||  0.508240 ||    15.500924 || 
